"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"arrival_2","boat",28,87.5,"","","","",""
"arrival_2","people",28,87.5,"","","","",""
"arrival_2","bird",27,84.375,"","","","",""
"arrival_2","hand",26,81.25,"","","","",""
"arrival_2","man",26,81.25,"","","","",""
"arrival_2","page",25,78.125,"","","","",""
"arrival_2","woman",25,78.125,"","","","",""
"arrival_2","ship",23,71.875,"","","","",""
"arrival_2","statue",22,68.75,"","","","",""
"arrival_2","suitcase",22,68.75,"","","","",""
"arrival_2","city",20,62.5,"","","","",""
"arrival_2","book",19,59.375,"","","","",""
"arrival_2","baby",18,56.25,"","","","",""
"arrival_2","hat",18,56.25,"","","","",""
"arrival_2","sky",18,56.25,"","","","",""
"arrival_2","arm",17,53.125,"","","","",""
"arrival_2","kind",17,53.125,"","","","",""
"arrival_2","shoulder",17,53.125,"","","","",""
"arrival_2","lot",16,50,"","","","",""
"arrival_2","megaphone",16,50,"","","","",""
"arrival_2","picture",16,50,"","","","",""
"arrival_2","head",15,46.875,"","","","",""
"arrival_2","one",15,46.875,"","","","",""
"arrival_2","gate",14,43.75,"","","","",""
"arrival_2","paper",14,43.75,"","","","",""
"arrival_2","water",14,43.75,"","","","",""
"arrival_2","harbor",13,40.625,"","","","",""
"arrival_2","origami",13,40.625,"","","","",""
"arrival_2","luggage",12,37.5,"","","","",""
"arrival_2","background",11,34.375,"","","","",""
"arrival_2","person",11,34.375,"","","","",""
"arrival_2","scene",11,34.375,"","","","",""
"arrival_2","tail",11,34.375,"","","","",""
"arrival_2","teapot",11,34.375,"","","","",""
"arrival_2","child",10,31.25,"","","","",""
"arrival_2","creature",10,31.25,"","","","",""
"arrival_2","deck",10,31.25,"","","","",""
"arrival_2","thing",10,31.25,"","","","",""
"arrival_2","animal",9,28.125,"","","","",""
"arrival_2","cup",9,28.125,"","","","",""
"arrival_2","family",9,28.125,"","","","",""
"arrival_2","front",9,28.125,"","","","",""
"arrival_2","journal",9,28.125,"","","","",""
"arrival_2","line",9,28.125,"","","","",""
"arrival_2","rabbit",9,28.125,"","","","",""
"arrival_2","side",9,28.125,"","","","",""
"arrival_2","skyscraper",9,28.125,"","","","",""
"arrival_2","type",9,28.125,"","","","",""
"arrival_2","um",9,28.125,"","","","",""
"arrival_2","air",8,25,"","","","",""
"arrival_2","bowl",8,25,"","","","",""
"arrival_2","dock",8,25,"","","","",""
"arrival_2","eye",8,25,"","","","",""
"arrival_2","piece",8,25,"","","","",""
"arrival_2","sort",8,25,"","","","",""
"arrival_2","story",8,25,"","","","",""
"arrival_2","bunch",7,21.875,"","","","",""
"arrival_2","crane",7,21.875,"","","","",""
"arrival_2","sun",7,21.875,"","","","",""
"arrival_2","vase",7,21.875,"","","","",""
"arrival_2","view",7,21.875,"","","","",""
"arrival_2","write",7,21.875,"","","","",""
"arrival_2","back",6,18.75,"","","","",""
"arrival_2","bit",6,18.75,"","","","",""
"arrival_2","cap",6,18.75,"","","","",""
"arrival_2","couple",6,18.75,"","","","",""
"arrival_2","figure",6,18.75,"","","","",""
"arrival_2","hold",6,18.75,"","","","",""
"arrival_2","land",6,18.75,"","","","",""
"arrival_2","liner",6,18.75,"","","","",""
"arrival_2","port",6,18.75,"","","","",""
"arrival_2","pot",6,18.75,"","","","",""
"arrival_2","sailboat",6,18.75,"","","","",""
"arrival_2","size",6,18.75,"","","","",""
"arrival_2","steam",6,18.75,"","","","",""
"arrival_2","suit",6,18.75,"","","","",""
"arrival_2","suits",6,18.75,"","","","",""
"arrival_2","top",6,18.75,"","","","",""
"arrival_2","uh",6,18.75,"","","","",""
"arrival_2","umm",6,18.75,"","","","",""
"arrival_2","york",6,18.75,"","","","",""
"arrival_2","bench",5,15.625,"","","","",""
"arrival_2","boy",5,15.625,"","","","",""
"arrival_2","building",5,15.625,"","","","",""
"arrival_2","cloud",5,15.625,"","","","",""
"arrival_2","crowd",5,15.625,"","","","",""
"arrival_2","door",5,15.625,"","","","",""
"arrival_2","flock",5,15.625,"","","","",""
"arrival_2","foreground",5,15.625,"","","","",""
"arrival_2","guy",5,15.625,"","","","",""
"arrival_2","handle",5,15.625,"","","","",""
"arrival_2","left",5,15.625,"","","","",""
"arrival_2","right",5,15.625,"","","","",""
"arrival_2","shape",5,15.625,"","","","",""
"arrival_2","steamship",5,15.625,"","","","",""
"arrival_2","tea",5,15.625,"","","","",""
"arrival_2","teacup",5,15.625,"","","","",""
"arrival_2","way",5,15.625,"","","","",""
"arrival_2","white",5,15.625,"","","","",""
"arrival_2","angle",4,12.5,"","","","",""
"arrival_2","apple",4,12.5,"","","","",""
"arrival_2","bag",4,12.5,"","","","",""
"arrival_2","blanket",4,12.5,"","","","",""
"arrival_2","cityscape",4,12.5,"","","","",""
"arrival_2","close",4,12.5,"","","","",""
"arrival_2","clouds",4,12.5,"","","","",""
"arrival_2","coat",4,12.5,"","","","",""
"arrival_2","direction",4,12.5,"","","","",""
"arrival_2","distance",4,12.5,"","","","",""
"arrival_2","dragonfly",4,12.5,"","","","",""
"arrival_2","face",4,12.5,"","","","",""
"arrival_2","food",4,12.5,"","","","",""
"arrival_2","group",4,12.5,"","","","",""
"arrival_2","immigrant",4,12.5,"","","","",""
"arrival_2","life",4,12.5,"","","","",""
"arrival_2","ocean",4,12.5,"","","","",""
"arrival_2","oh",4,12.5,"","","","",""
"arrival_2","package",4,12.5,"","","","",""
"arrival_2","passenger",4,12.5,"","","","",""
"arrival_2","rope",4,12.5,"","","","",""
"arrival_2","scarve",4,12.5,"","","","",""
"arrival_2","sepia",4,12.5,"","","","",""
"arrival_2","skyline",4,12.5,"","","","",""
"arrival_2","steamboat",4,12.5,"","","","",""
"arrival_2","swan",4,12.5,"","","","",""
"arrival_2","up",4,12.5,"","","","",""
"arrival_2","vessel",4,12.5,"","","","",""
"arrival_2","wing",4,12.5,"","","","",""
"arrival_2","basket",3,9.375,"","","","",""
"arrival_2","bay",3,9.375,"","","","",""
"arrival_2","belonging",3,9.375,"","","","",""
"arrival_2","bucket",3,9.375,"","","","",""
"arrival_2","buoy",3,9.375,"","","","",""
"arrival_2","clothes",3,9.375,"","","","",""
"arrival_2","coffee",3,9.375,"","","","",""
"arrival_2","conductor",3,9.375,"","","","",""
"arrival_2","cone",3,9.375,"","","","",""
"arrival_2","country",3,9.375,"","","","",""
"arrival_2","daughter",3,9.375,"","","","",""
"arrival_2","dozen",3,9.375,"","","","",""
"arrival_2","finger",3,9.375,"","","","",""
