"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"birthday_party_fun","party",31,96.875,"","","","",""
"birthday_party_fun","birthday",30,93.75,"","","","",""
"birthday_party_fun","people",30,93.75,"","","","",""
"birthday_party_fun","pool",30,93.75,"","","","",""
"birthday_party_fun","costume",29,90.625,"","","","",""
"birthday_party_fun","table",27,84.375,"","","","",""
"birthday_party_fun","cake",26,81.25,"","","","",""
"birthday_party_fun","food",24,75,"","","","",""
"birthday_party_fun","lot",24,75,"","","","",""
"birthday_party_fun","castle",23,71.875,"","","","",""
"birthday_party_fun","clown",22,68.75,"","","","",""
"birthday_party_fun","water",22,68.75,"","","","",""
"birthday_party_fun","fence",20,62.5,"","","","",""
"birthday_party_fun","kid",20,62.5,"","","","",""
"birthday_party_fun","tug",20,62.5,"","","","",""
"birthday_party_fun","witch",20,62.5,"","","","",""
"birthday_party_fun","balloon",19,59.375,"","","","",""
"birthday_party_fun","pinata",19,59.375,"","","","",""
"birthday_party_fun","present",19,59.375,"","","","",""
"birthday_party_fun","war",19,59.375,"","","","",""
"birthday_party_fun","kind",18,56.25,"","","","",""
"birthday_party_fun","tree",18,56.25,"","","","",""
"birthday_party_fun","fun",17,53.125,"","","","",""
"birthday_party_fun","gun",17,53.125,"","","","",""
"birthday_party_fun","penguin",17,53.125,"","","","",""
"birthday_party_fun","bat",16,50,"","","","",""
"birthday_party_fun","lion",16,50,"","","","",""
"birthday_party_fun","backyard",14,43.75,"","","","",""
"birthday_party_fun","girl",14,43.75,"","","","",""
"birthday_party_fun","house",14,43.75,"","","","",""
"birthday_party_fun","scene",14,43.75,"","","","",""
"birthday_party_fun","side",14,43.75,"","","","",""
"birthday_party_fun","elephant",13,40.625,"","","","",""
"birthday_party_fun","gift",13,40.625,"","","","",""
"birthday_party_fun","lantern",13,40.625,"","","","",""
"birthday_party_fun","person",13,40.625,"","","","",""
"birthday_party_fun","animal",12,37.5,"","","","",""
"birthday_party_fun","cupcake",12,37.5,"","","","",""
"birthday_party_fun","head",12,37.5,"","","","",""
"birthday_party_fun","bunny",11,34.375,"","","","",""
"birthday_party_fun","man",11,34.375,"","","","",""
"birthday_party_fun","mermaid",11,34.375,"","","","",""
"birthday_party_fun","one",11,34.375,"","","","",""
"birthday_party_fun","robot",11,34.375,"","","","",""
"birthday_party_fun","thing",11,34.375,"","","","",""
"birthday_party_fun","alligator",10,31.25,"","","","",""
"birthday_party_fun","bouncy",10,31.25,"","","","",""
"birthday_party_fun","child",10,31.25,"","","","",""
"birthday_party_fun","hand",10,31.25,"","","","",""
"birthday_party_fun","pirate",10,31.25,"","","","",""
"birthday_party_fun","sandwich",10,31.25,"","","","",""
"birthday_party_fun","viking",10,31.25,"","","","",""
"birthday_party_fun","devil",9,28.125,"","","","",""
"birthday_party_fun","dog",9,28.125,"","","","",""
"birthday_party_fun","guy",9,28.125,"","","","",""
"birthday_party_fun","lady",9,28.125,"","","","",""
"birthday_party_fun","pig",9,28.125,"","","","",""
"birthday_party_fun","um",9,28.125,"","","","",""
"birthday_party_fun","yard",9,28.125,"","","","",""
"birthday_party_fun","zebra",9,28.125,"","","","",""
"birthday_party_fun","angel",8,25,"","","","",""
"birthday_party_fun","face",8,25,"","","","",""
"birthday_party_fun","page",8,25,"","","","",""
"birthday_party_fun","princess",8,25,"","","","",""
"birthday_party_fun","woman",8,25,"","","","",""
"birthday_party_fun","activity",7,21.875,"","","","",""
"birthday_party_fun","adult",7,21.875,"","","","",""
"birthday_party_fun","bottom",7,21.875,"","","","",""
"birthday_party_fun","boy",7,21.875,"","","","",""
"birthday_party_fun","bunch",7,21.875,"","","","",""
"birthday_party_fun","bushes",7,21.875,"","","","",""
"birthday_party_fun","couple",7,21.875,"","","","",""
"birthday_party_fun","crocodile",7,21.875,"","","","",""
"birthday_party_fun","hose",7,21.875,"","","","",""
"birthday_party_fun","parent",7,21.875,"","","","",""
"birthday_party_fun","place",7,21.875,"","","","",""
"birthday_party_fun","right",7,21.875,"","","","",""
"birthday_party_fun","salad",7,21.875,"","","","",""
"birthday_party_fun","sheep",7,21.875,"","","","",""
"birthday_party_fun","shepherd",7,21.875,"","","","",""
"birthday_party_fun","blindfold",6,18.75,"","","","",""
"birthday_party_fun","bucket",6,18.75,"","","","",""
"birthday_party_fun","candle",6,18.75,"","","","",""
"birthday_party_fun","caveman",6,18.75,"","","","",""
"birthday_party_fun","center",6,18.75,"","","","",""
"birthday_party_fun","chef",6,18.75,"","","","",""
"birthday_party_fun","decoration",6,18.75,"","","","",""
"birthday_party_fun","fairy",6,18.75,"","","","",""
"birthday_party_fun","flower",6,18.75,"","","","",""
"birthday_party_fun","football",6,18.75,"","","","",""
"birthday_party_fun","game",6,18.75,"","","","",""
"birthday_party_fun","gate",6,18.75,"","","","",""
"birthday_party_fun","giraffe",6,18.75,"","","","",""
"birthday_party_fun","group",6,18.75,"","","","",""
"birthday_party_fun","left",6,18.75,"","","","",""
"birthday_party_fun","mask",6,18.75,"","","","",""
"birthday_party_fun","middle",6,18.75,"","","","",""
"birthday_party_fun","net",6,18.75,"","","","",""
"birthday_party_fun","paper",6,18.75,"","","","",""
"birthday_party_fun","picture",6,18.75,"","","","",""
"birthday_party_fun","plate",6,18.75,"","","","",""
"birthday_party_fun","policeman",6,18.75,"","","","",""
"birthday_party_fun","rabbit",6,18.75,"","","","",""
"birthday_party_fun","skeleton",6,18.75,"","","","",""
"birthday_party_fun","sort",6,18.75,"","","","",""
