stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
airport,morne,2,6.25,0,0,1,,,morne
airport,cessna,1,3.125,0,0,1,,,cessna
airport,boxe,3,9.375,1,0,1,,,box
airport,animal,5,15.625,0,0,0,,,animal
airport,area,10,31.25,0,0,0,,,area
airport,airport,30,93.75,1,0,0,,,airport
airport,people,30,93.75,1,0,0,,,people
airport,plane,29,90.625,1,0,0,,"aircraft, airliner, airship",plane
airport,luggage,27,84.375,1,0,0,,"baggage, suitcase, bag",luggage
airport,fire,26,81.25,1,0,0,,,fire
airport,balloon,24,75,1,0,0,,,balloon
airport,airplane,22,68.75,1,0,0,,,airplane
airport,bus,22,68.75,1,0,0,,,bus
airport,truck,21,65.625,1,0,0,trucks,,truck
airport,helicopter,18,56.25,1,0,0,,,helicopter
airport,elephant,17,53.125,1,0,0,,,elephant
airport,man,16,50,1,0,0,,,man
airport,flag,15,46.875,1,0,0,,,flag
airport,baggage,14,43.75,1,0,0,,"luggage, suitcase, bag",baggage
airport,line,14,43.75,1,0,0,,,line
airport,smoke,14,43.75,1,0,0,,,smoke
airport,cart,13,40.625,1,0,0,,,cart
airport,couple,13,40.625,1,0,0,,,couple
airport,jet,13,40.625,1,0,0,,,jet
airport,sky,13,40.625,1,0,0,,,sky
airport,tower,13,40.625,1,0,0,,,tower
airport,water,13,40.625,1,0,0,,,water
airport,hose,12,37.5,1,0,0,,,hose
airport,rocket,12,37.5,1,0,0,,,rocket
airport,watch,12,37.5,1,0,0,,,watch
airport,blimp,11,34.375,1,0,0,,,blimp
airport,waldo,11,34.375,1,0,0,,,waldo
airport,wing,11,34.375,1,0,0,,,wing
airport,worker,11,34.375,0,0,0,,,worker
airport,attendant,10,31.25,1,0,0,,"staff, crew",attendant
airport,card,10,31.25,1,0,0,,,card
airport,stair,10,31.25,1,0,0,,,stair
airport,tarmac,10,31.25,1,0,0,,,tarmac
airport,building,9,28.125,1,0,0,,,building
airport,coat,9,28.125,1,0,0,,,coat
airport,engine,9,28.125,1,0,0,,,engine
airport,guy,9,28.125,1,0,0,,,guy
airport,person,9,28.125,1,0,0,,,person
airport,spaceship,9,28.125,1,0,0,,saucer,spaceship
airport,flagpole,8,25,1,0,0,,,flagpole
airport,forklift,8,25,1,0,0,,,forklift
airport,fuel,8,25,1,0,0,,,fuel
airport,nose,8,25,1,0,0,,,nose
airport,picture,8,25,1,0,0,,,picture
airport,pilot,8,25,1,0,0,,,pilot
airport,security,8,25,1,0,0,,,security
airport,suitcase,8,25,1,0,0,,"baggage, luggage, bag",suitcase
airport,ticket,8,25,1,0,0,,,ticket
airport,traffic,8,25,1,0,0,,,traffic
airport,vehicle,8,25,1,0,0,,,vehicle
airport,box,7,21.875,1,0,0,,,box
airport,desk,7,21.875,1,0,0,,,desk
airport,door,7,21.875,1,0,0,,,door
airport,fork,7,21.875,1,0,0,,,fork
airport,page,7,21.875,1,0,0,,,page
airport,stripe,7,21.875,1,0,0,,,stripe
airport,cargo,6,18.75,1,0,0,,,cargo
airport,carousel,6,18.75,1,0,0,,,carousel
airport,cockpit,6,18.75,1,0,0,,,cockpit
airport,passengers,6,18.75,1,0,0,passenger,,passengers
airport,runway,6,18.75,1,0,0,,,runway
airport,terminal,6,18.75,1,0,0,,,terminal
airport,trucks,6,18.75,1,0,0,truck,,trucks
airport,uniform,6,18.75,1,0,0,,,uniform
airport,bag,5,15.625,1,0,0,,"baggage, luggage, suitcase",bag
airport,beard,5,15.625,1,0,0,,,beard
airport,belt,5,15.625,1,0,0,,,belt
airport,folk,5,15.625,1,0,0,,,folk
airport,herd,5,15.625,1,0,0,,,herd
airport,knife,5,15.625,1,0,0,,,knife
airport,passenger,5,15.625,1,0,0,passengers,,passenger
airport,bed,4,12.5,1,0,0,,,bed
airport,book,4,12.5,1,0,0,,,book
airport,boy,4,12.5,1,0,0,,,boy
airport,car,4,12.5,1,0,0,,,car
airport,counter,4,12.5,1,0,0,,,counter
airport,crate,4,12.5,1,0,0,crates,,crate
airport,deck,4,12.5,1,0,0,,,deck
airport,food,4,12.5,1,0,0,,,food
airport,gas,4,12.5,1,0,0,,,gas
airport,group,4,12.5,1,0,0,,,group
airport,hand,4,12.5,1,0,0,,,hand
airport,handler,4,12.5,1,0,0,,,handler
airport,hat,4,12.5,1,0,0,,,hat
airport,lift,4,12.5,1,0,0,,,lift
airport,postcard,4,12.5,1,0,0,,,postcard
airport,ramp,4,12.5,1,0,0,,,ramp
airport,shirt,4,12.5,1,0,0,,,shirt
airport,shoe,4,12.5,1,0,0,,,shoe
airport,tractor,4,12.5,1,0,0,,,tractor
airport,woman,4,12.5,1,0,0,,,woman
airport,aircraft,3,9.375,1,0,0,,"plane, ship",aircraft
airport,arm,3,9.375,1,0,0,,,arm
airport,carpet,3,9.375,1,0,0,,,carpet
airport,case,3,9.375,1,0,0,,,case
airport,check,3,9.375,1,0,0,,,check
airport,cigarette,3,9.375,1,0,0,,,cigarette
airport,crates,3,9.375,1,0,0,crate,,crates
airport,fighter,3,9.375,1,0,0,,,fighter
airport,guard,3,9.375,1,0,0,,,guard
airport,paper,3,9.375,1,0,0,,,paper
airport,police,3,9.375,1,0,0,,"policeman, officer, official",police
airport,policeman,3,9.375,1,0,0,,"police, officer, official",policeman
airport,saucer,3,9.375,1,0,0,,"spaceship, ship",saucer
airport,screen,3,9.375,1,0,0,,,screen
airport,ship,3,9.375,1,0,0,,"spaceship, saucer",ship
airport,stamp,3,9.375,1,0,0,,"postmark, postage",stamp
airport,step,3,9.375,1,0,0,,,step
airport,tail,3,9.375,1,0,0,,,tail
airport,train,3,9.375,1,0,0,,,train
airport,weapon,3,9.375,1,0,0,,,weapon
airport,window,3,9.375,1,0,0,,,window
airport,airliner,2,6.25,1,0,0,,"aircraft, airship",airliner
airport,airship,2,6.25,1,0,0,,"aircraft, airliner",airship
airport,bird,2,6.25,1,0,0,,,bird
airport,body,2,6.25,1,0,0,,,body
airport,cartoon,2,6.25,1,0,0,,,cartoon
