"source","agreement","stimuli","n","percent","lemma_naming","lemma_dis","dist","match"
"boss",94,"arrival_1",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"arrival_4",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"arrival_6",14,45.1612903225806,"broom","room",0.0666666666666668,NA
"boss",94,"dinosaurs_spacemen_and_ghouls",18,58.0645161290323,"broom","room",0.0666666666666668,NA
"boss",94,"exhibit_12",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"flowerman",12,38.7096774193548,"broom","room",0.0666666666666668,NA
"boss",94,"journey",27,87.0967741935484,"broom","room",0.0666666666666668,NA
"boss",94,"return",27,87.0967741935484,"broom","room",0.0666666666666668,NA
"boss",71,"wanderer",24,77.4193548387097,"cane","crane",0.0666666666666668,NA
"boss",92,"journey",10,32.258064516129,"clock","lock",0.0666666666666668,NA
"boss",77,"being_a_pirate",12,38.7096774193548,"shoe","shore",0.0666666666666668,NA
"boss",77,"wanderer",9,29.0322580645161,"shoe","shore",0.0666666666666668,NA
"boss",78,"arrival_3",16,51.6129032258064,"nail","snail",0.0666666666666668,NA
"boss",100,"ancient_rome",8,25.8064516129032,"pear","spear",0.0666666666666668,NA
"boss",100,"journey",8,25.8064516129032,"pear","spear",0.0666666666666668,NA
"boss",100,"quest",17,54.8387096774194,"pear","spear",0.0666666666666668,NA
"boss",100,"wanderer",10,32.258064516129,"pear","pearl",0.0666666666666668,NA
"boss",84,"flowerman",23,74.1935483870968,"scale","sale",0.0666666666666668,NA
"boss",100,"dinosaurs_spacemen_and_ghouls",8,25.8064516129032,"screw","crew",0.0666666666666668,NA
"brodeur",88,"flowerman",21,67.741935483871,"chair","hair",0.0666666666666668,NA
"brodeur",88,"picture_this",8,25.8064516129032,"chair","hair",0.0666666666666668,NA
"brodeur",100,"airport",12,38.7096774193548,"horse","hose",0.0666666666666668,NA
"brodeur",98,"by_the_lake",10,32.258064516129,"kite","kites",0.0666666666666668,1
"brodeur",88,"ancient_rome",27,87.0967741935484,"lion","lions",0.0666666666666668,1
"brodeur",88,"escape_from_the_zoo",14,45.1612903225806,"lion","lions",0.0666666666666668,1
"brodeur",98,"airport",11,35.4838709677419,"swing","wing",0.0666666666666668,NA
"brodeur",98,"arrival_6",9,29.0322580645161,"swing","wing",0.0666666666666668,NA
"brodeur",98,"quest",18,58.0645161290323,"swing","wing",0.0666666666666668,NA
"brodeur",98,"return",20,64.5161290322581,"swing","wing",0.0666666666666668,NA
"brodeur",98,"wanderer",17,54.8387096774194,"swing","wing",0.0666666666666668,NA
"moreno-martinez",86,"arrival_6",8,25.8064516129032,"brain","rain",0.0666666666666668,NA
"moreno-martinez",86,"quest",19,61.2903225806452,"brain","rain",0.0666666666666668,NA
"moreno-martinez",72,"airport",11,35.4838709677419,"chard","card",0.0666666666666668,NA
"moreno-martinez",93,"airport",12,38.7096774193548,"house","hose",0.0666666666666668,NA
"moreno-martinez",97,"wanderer",8,25.8064516129032,"sword","word",0.0666666666666668,NA
"moreno-martinez",93,"arrival_6",8,25.8064516129032,"train","rain",0.0666666666666668,NA
"moreno-martinez",93,"quest",19,61.2903225806452,"train","rain",0.0666666666666668,NA
"DR2",100,"quest",9,29.0322580645161,"bear","beard",0.0666666666666668,NA
"DR2",100,"return",10,32.258064516129,"bear","beard",0.0666666666666668,NA
"DR2",100,"journey",10,32.258064516129,"block","lock",0.0666666666666668,NA
"DR2",100,"arrival_1",26,83.8709677419355,"lock","clock",0.0666666666666668,NA
"DR2",100,"arrival_3",17,54.8387096774194,"lock","clock",0.0666666666666668,NA
"DR2",100,"flowerman",12,38.7096774193548,"lock","clock",0.0666666666666668,NA
"DR2",100,"arrival_5",11,35.4838709677419,"medal","meal",0.0666666666666668,NA
"DR2",95.5,"ancient_rome",12,38.7096774193548,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_1",15,48.3870967741936,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_2",9,29.0322580645161,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_3",9,29.0322580645161,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_4",16,51.6129032258064,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_5",14,45.1612903225806,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_6",19,61.2903225806452,"slide","side",0.0666666666666668,NA
