"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"arrival_3","man",30,93.75,"","","","",""
"arrival_3","hat",29,90.625,"","","","",""
"arrival_3","book",28,87.5,"","","","",""
"arrival_3","cat",27,84.375,"","","","",""
"arrival_3","egg",27,84.375,"","","","",""
"arrival_3","suitcase",27,84.375,"","","","",""
"arrival_3","woman",27,84.375,"","","","",""
"arrival_3","bed",23,71.875,"","","","",""
"arrival_3","people",23,71.875,"","","","",""
"arrival_3","newspaper",22,68.75,"","","","",""
"arrival_3","picture",22,68.75,"","","","",""
"arrival_3","street",22,68.75,"","","","",""
"arrival_3","barber",21,65.625,"","","","",""
"arrival_3","ground",21,65.625,"","","","",""
"arrival_3","bird",20,62.5,"","","","",""
"arrival_3","boy",20,62.5,"","","","",""
"arrival_3","cart",20,62.5,"","","","",""
"arrival_3","hand",20,62.5,"","","","",""
"arrival_3","light",19,59.375,"","","","",""
"arrival_3","basket",18,56.25,"","","","",""
"arrival_3","clock",18,56.25,"","","","",""
"arrival_3","head",18,56.25,"","","","",""
"arrival_3","music",18,56.25,"","","","",""
"arrival_3","snail",18,56.25,"","","","",""
"arrival_3","time",18,56.25,"","","","",""
"arrival_3","violin",18,56.25,"","","","",""
"arrival_3","watch",18,56.25,"","","","",""
"arrival_3","animal",17,53.125,"","","","",""
"arrival_3","kind",17,53.125,"","","","",""
"arrival_3","instrument",16,50,"","","","",""
"arrival_3","arrow",15,46.875,"","","","",""
"arrival_3","direction",15,46.875,"","","","",""
"arrival_3","map",15,46.875,"","","","",""
"arrival_3","accordion",14,43.75,"","","","",""
"arrival_3","creature",14,43.75,"","","","",""
"arrival_3","one",14,43.75,"","","","",""
"arrival_3","arm",13,40.625,"","","","",""
"arrival_3","language",13,40.625,"","","","",""
"arrival_3","person",13,40.625,"","","","",""
"arrival_3","sign",13,40.625,"","","","",""
"arrival_3","thing",13,40.625,"","","","",""
"arrival_3","type",13,40.625,"","","","",""
"arrival_3","way",13,40.625,"","","","",""
"arrival_3","front",11,34.375,"","","","",""
"arrival_3","hold",11,34.375,"","","","",""
"arrival_3","scene",11,34.375,"","","","",""
"arrival_3","wind",11,34.375,"","","","",""
"arrival_3","musician",10,31.25,"","","","",""
"arrival_3","rabbit",10,31.25,"","","","",""
"arrival_3","shoulder",10,31.25,"","","","",""
"arrival_3","sky",10,31.25,"","","","",""
"arrival_3","stand",10,31.25,"","","","",""
"arrival_3","tower",10,31.25,"","","","",""
"arrival_3","window",10,31.25,"","","","",""
"arrival_3","back",9,28.125,"","","","",""
"arrival_3","box",9,28.125,"","","","",""
"arrival_3","building",9,28.125,"","","","",""
"arrival_3","guy",9,28.125,"","","","",""
"arrival_3","horn",9,28.125,"","","","",""
"arrival_3","pocket",9,28.125,"","","","",""
"arrival_3","side",9,28.125,"","","","",""
"arrival_3","sort",9,28.125,"","","","",""
"arrival_3","um",9,28.125,"","","","",""
"arrival_3","chair",8,25,"","","","",""
"arrival_3","child",8,25,"","","","",""
"arrival_3","couple",8,25,"","","","",""
"arrival_3","finger",8,25,"","","","",""
"arrival_3","floor",8,25,"","","","",""
"arrival_3","lizard",8,25,"","","","",""
"arrival_3","paper",8,25,"","","","",""
"arrival_3","place",8,25,"","","","",""
"arrival_3","poster",8,25,"","","","",""
"arrival_3","sidewalk",8,25,"","","","",""
"arrival_3","tea",8,25,"","","","",""
"arrival_3","turban",8,25,"","","","",""
"arrival_3","vendor",8,25,"","","","",""
"arrival_3","ching",7,21.875,"","","","",""
"arrival_3","food",7,21.875,"","","","",""
"arrival_3","lady",7,21.875,"","","","",""
"arrival_3","page",7,21.875,"","","","",""
"arrival_3","papers",7,21.875,"","","","",""
"arrival_3","piece",7,21.875,"","","","",""
"arrival_3","shave",7,21.875,"","","","",""
"arrival_3","sheet",7,21.875,"","","","",""
"arrival_3","suit",7,21.875,"","","","",""
"arrival_3","umm",7,21.875,"","","","",""
"arrival_3","wheel",7,21.875,"","","","",""
"arrival_3","writing",7,21.875,"","","","",""
"arrival_3","air",6,18.75,"","","","",""
"arrival_3","background",6,18.75,"","","","",""
"arrival_3","backpack",6,18.75,"","","","",""
"arrival_3","bunch",6,18.75,"","","","",""
"arrival_3","city",6,18.75,"","","","",""
"arrival_3","coffee",6,18.75,"","","","",""
"arrival_3","crate",6,18.75,"","","","",""
"arrival_3","group",6,18.75,"","","","",""
"arrival_3","lap",6,18.75,"","","","",""
"arrival_3","lot",6,18.75,"","","","",""
"arrival_3","part",6,18.75,"","","","",""
"arrival_3","tail",6,18.75,"","","","",""
"arrival_3","top",6,18.75,"","","","",""
"arrival_3","town",6,18.75,"","","","",""
"arrival_3","trumpet",6,18.75,"","","","",""
"arrival_3","tuba",6,18.75,"","","","",""
"arrival_3","uh",6,18.75,"","","","",""
"arrival_3","wall",6,18.75,"","","","",""
"arrival_3","bit",5,15.625,"","","","",""
"arrival_3","pet",5,15.625,"","","","",""
"arrival_3","point",5,15.625,"","","","",""
"arrival_3","road",5,15.625,"","","","",""
"arrival_3","shop",5,15.625,"","","","",""
"arrival_3","smoke",5,15.625,"","","","",""
"arrival_3","steam",5,15.625,"","","","",""
"arrival_3","story",5,15.625,"","","","",""
"arrival_3","word",5,15.625,"","","","",""
"arrival_3","attention",4,12.5,"","","","",""
"arrival_3","bottom",4,12.5,"","","","",""
"arrival_3","combination",4,12.5,"","","","",""
"arrival_3","compass",4,12.5,"","","","",""
"arrival_3","day",4,12.5,"","","","",""
"arrival_3","design",4,12.5,"","","","",""
"arrival_3","drawing",4,12.5,"","","","",""
"arrival_3","foot",4,12.5,"","","","",""
"arrival_3","hair",4,12.5,"","","","",""
"arrival_3","item",4,12.5,"","","","",""
"arrival_3","luggage",4,12.5,"","","","",""
"arrival_3","middle",4,12.5,"","","","",""
"arrival_3","night",4,12.5,"","","","",""
"arrival_3","notebook",4,12.5,"","","","",""
"arrival_3","number",4,12.5,"","","","",""
"arrival_3","pigeon",4,12.5,"","","","",""
"arrival_3","room",4,12.5,"","","","",""
"arrival_3","row",4,12.5,"","","","",""
"arrival_3","snowflake",4,12.5,"","","","",""
"arrival_3","son",4,12.5,"","","","",""
"arrival_3","archway",3,9.375,"","","","",""
"arrival_3","barbershop",3,9.375,"","","","",""
"arrival_3","bicycle",3,9.375,"","","","",""
"arrival_3","bunny",3,9.375,"","","","",""
"arrival_3","circle",3,9.375,"","","","",""
"arrival_3","coat",3,9.375,"","","","",""
"arrival_3","conversation",3,9.375,"","","","",""
"arrival_3","country",3,9.375,"","","","",""
"arrival_3","crab",3,9.375,"","","","",""
"arrival_3","cup",3,9.375,"","","","",""
"arrival_3","dinosaur",3,9.375,"","","","",""
"arrival_3","dress",3,9.375,"","","","",""
"arrival_3","ear",3,9.375,"","","","",""
"arrival_3","face",3,9.375,"","","","",""
"arrival_3","fact",3,9.375,"","","","",""
"arrival_3","fall",3,9.375,"","","","",""
"arrival_3","fiddle",3,9.375,"","","","",""
"arrival_3","gentleman",3,9.375,"","","","",""
"arrival_3","help",3,9.375,"","","","",""
"arrival_3","jacket",3,9.375,"","","","",""
"arrival_3","kid",3,9.375,"","","","",""
"arrival_3","left",3,9.375,"","","","",""
"arrival_3","magazine",3,9.375,"","","","",""
"arrival_3","market",3,9.375,"","","","",""
"arrival_3","neck",3,9.375,"","","","",""
"arrival_3","pick",3,9.375,"","","","",""
"arrival_3","pointy",3,9.375,"","","","",""
"arrival_3","pushcart",3,9.375,"","","","",""
"arrival_3","question",3,9.375,"","","","",""
"arrival_3","right",3,9.375,"","","","",""
"arrival_3","shirt",3,9.375,"","","","",""
"arrival_3","size",3,9.375,"","","","",""
"arrival_3","squirrel",3,9.375,"","","","",""
"arrival_3","stool",3,9.375,"","","","",""
"arrival_3","stopwatch",3,9.375,"","","","",""
"arrival_3","strange",3,9.375,"","","","",""
"arrival_3","straw",3,9.375,"","","","",""
"arrival_3","talk",3,9.375,"","","","",""
"arrival_3","teapot",3,9.375,"","","","",""
"arrival_3","walk",3,9.375,"","","","",""
"arrival_3","write",3,9.375,"","","","",""
"arrival_3","year",3,9.375,"","","","",""
"arrival_3","1900",2,6.25,"","","","",""
"arrival_3","40",2,6.25,"","","","",""
"arrival_3","activity",2,6.25,"","","","",""
"arrival_3","ah",2,6.25,"","","","",""
"arrival_3","apron",2,6.25,"","","","",""
"arrival_3","attire",2,6.25,"","","","",""
"arrival_3","band",2,6.25,"","","","",""
"arrival_3","be",2,6.25,"","","","",""
"arrival_3","beard",2,6.25,"","","","",""
"arrival_3","bench",2,6.25,"","","","",""
"arrival_3","bend",2,6.25,"","","","",""
"arrival_3","bike",2,6.25,"","","","",""
"arrival_3","boat",2,6.25,"","","","",""
"arrival_3","bow",2,6.25,"","","","",""
"arrival_3","brick",2,6.25,"","","","",""
"arrival_3","bubble",2,6.25,"","","","",""
"arrival_3","cap",2,6.25,"","","","",""
"arrival_3","cape",2,6.25,"","","","",""
"arrival_3","cbe",2,6.25,"","","","",""
"arrival_3","center",2,6.25,"","","","",""
"arrival_3","church",2,6.25,"","","","",""
"arrival_3","cloth",2,6.25,"","","","",""
"arrival_3","clothes",2,6.25,"","","","",""
"arrival_3","clue",2,6.25,"","","","",""
"arrival_3","color",2,6.25,"","","","",""
"arrival_3","companion",2,6.25,"","","","",""
"arrival_3","contraption",2,6.25,"","","","",""
"arrival_3","corner",2,6.25,"","","","",""
"arrival_3","cream",2,6.25,"","","","",""
"arrival_3","curb",2,6.25,"","","","",""
"arrival_3","dad",2,6.25,"","","","",""
"arrival_3","destination",2,6.25,"","","","",""
"arrival_3","diagram",2,6.25,"","","","",""
"arrival_3","doorway",2,6.25,"","","","",""
"arrival_3","dragon",2,6.25,"","","","",""
"arrival_3","ears",2,6.25,"","","","",""
"arrival_3","east",2,6.25,"","","","",""
"arrival_3","edge",2,6.25,"","","","",""
"arrival_3","father",2,6.25,"","","","",""
"arrival_3","figure",2,6.25,"","","","",""
"arrival_3","firefly",2,6.25,"","","","",""
"arrival_3","frame",2,6.25,"","","","",""
"arrival_3","friend",2,6.25,"","","","",""
"arrival_3","gesture",2,6.25,"","","","",""
"arrival_3","girl",2,6.25,"","","","",""
"arrival_3","hail",2,6.25,"","","","",""
"arrival_3","hotel",2,6.25,"","","","",""
"arrival_3","idea",2,6.25,"","","","",""
"arrival_3","iguana",2,6.25,"","","","",""
"arrival_3","image",2,6.25,"","","","",""
"arrival_3","kettle",2,6.25,"","","","",""
"arrival_3","knitting",2,6.25,"","","","",""
"arrival_3","letter",2,6.25,"","","","",""
"arrival_3","look",2,6.25,"","","","",""
"arrival_3","machine",2,6.25,"","","","",""
"arrival_3","mouse",2,6.25,"","","","",""
"arrival_3","news",2,6.25,"","","","",""
"arrival_3","newsboy",2,6.25,"","","","",""
"arrival_3","nose",2,6.25,"","","","",""
"arrival_3","ohh",2,6.25,"","","","",""
"arrival_3","orb",2,6.25,"","","","",""
"arrival_3","pair",2,6.25,"","","","",""
"arrival_3","pants",2,6.25,"","","","",""
"arrival_3","past",2,6.25,"","","","",""
"arrival_3","photo",2,6.25,"","","","",""
"arrival_3","plant",2,6.25,"","","","",""
"arrival_3","porcupine",2,6.25,"","","","",""
"arrival_3","possum",2,6.25,"","","","",""
"arrival_3","pot",2,6.25,"","","","",""
"arrival_3","push",2,6.25,"","","","",""
"arrival_3","raise",2,6.25,"","","","",""
