"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"campsite","people",29,90.625,"","","","",""
"campsite","tent",28,87.5,"","","","",""
"campsite","bull",24,75,"","","","",""
"campsite","boat",23,71.875,"","","","",""
"campsite","lot",22,68.75,"","","","",""
"campsite","side",22,68.75,"","","","",""
"campsite","bridge",21,65.625,"","","","",""
"campsite","mermaid",20,62.5,"","","","",""
"campsite","river",17,53.125,"","","","",""
"campsite","couple",16,50,"","","","",""
"campsite","hiker",16,50,"","","","",""
"campsite","scout",16,50,"","","","",""
"campsite","water",16,50,"","","","",""
"campsite","area",15,46.875,"","","","",""
"campsite","boy",15,46.875,"","","","",""
"campsite","campers",15,46.875,"","","","",""
"campsite","kind",15,46.875,"","","","",""
"campsite","bike",14,43.75,"","","","",""
"campsite","man",14,43.75,"","","","",""
"campsite","top",14,43.75,"","","","",""
"campsite","dog",13,40.625,"","","","",""
"campsite","rv",13,40.625,"","","","",""
"campsite","backpack",12,37.5,"","","","",""
"campsite","field",12,37.5,"","","","",""
"campsite","ground",12,37.5,"","","","",""
"campsite","one",12,37.5,"","","","",""
"campsite","scene",12,37.5,"","","","",""
"campsite","thing",12,37.5,"","","","",""
"campsite","type",12,37.5,"","","","",""
"campsite","canal",11,34.375,"","","","",""
"campsite","duck",11,34.375,"","","","",""
"campsite","fish",11,34.375,"","","","",""
"campsite","flower",11,34.375,"","","","",""
"campsite","guitar",11,34.375,"","","","",""
"campsite","animal",10,31.25,"","","","",""
"campsite","bunch",10,31.25,"","","","",""
"campsite","shark",10,31.25,"","","","",""
"campsite","um",10,31.25,"","","","",""
"campsite","camper",9,28.125,"","","","",""
"campsite","campground",9,28.125,"","","","",""
"campsite","kid",9,28.125,"","","","",""
"campsite","page",9,28.125,"","","","",""
"campsite","place",9,28.125,"","","","",""
"campsite","sidewalk",9,28.125,"","","","",""
"campsite","smoke",9,28.125,"","","","",""
"campsite","way",9,28.125,"","","","",""
"campsite","background",8,25,"","","","",""
"campsite","bird",8,25,"","","","",""
"campsite","color",8,25,"","","","",""
"campsite","fire",8,25,"","","","",""
"campsite","fishing",8,25,"","","","",""
"campsite","front",8,25,"","","","",""
"campsite","guy",8,25,"","","","",""
"campsite","part",8,25,"","","","",""
"campsite","raft",8,25,"","","","",""
"campsite","stick",8,25,"","","","",""
"campsite","trailer",8,25,"","","","",""
"campsite","tree",8,25,"","","","",""
"campsite","umm",8,25,"","","","",""
"campsite","waldo",8,25,"","","","",""
"campsite","bicycle",7,21.875,"","","","",""
"campsite","bushes",7,21.875,"","","","",""
"campsite","center",7,21.875,"","","","",""
"campsite","family",7,21.875,"","","","",""
"campsite","hand",7,21.875,"","","","",""
"campsite","head",7,21.875,"","","","",""
"campsite","hippie",7,21.875,"","","","",""
"campsite","middle",7,21.875,"","","","",""
"campsite","pole",7,21.875,"","","","",""
"campsite","time",7,21.875,"","","","",""
"campsite","walk",7,21.875,"","","","",""
"campsite","walkway",7,21.875,"","","","",""
"campsite","activity",6,18.75,"","","","",""
"campsite","awning",6,18.75,"","","","",""
"campsite","canoe",6,18.75,"","","","",""
"campsite","child",6,18.75,"","","","",""
"campsite","corner",6,18.75,"","","","",""
"campsite","donkey",6,18.75,"","","","",""
"campsite","fin",6,18.75,"","","","",""
"campsite","grass",6,18.75,"","","","",""
"campsite","group",6,18.75,"","","","",""
"campsite","left",6,18.75,"","","","",""
"campsite","person",6,18.75,"","","","",""
"campsite","picture",6,18.75,"","","","",""
"campsite","road",6,18.75,"","","","",""
"campsite","section",6,18.75,"","","","",""
"campsite","sort",6,18.75,"","","","",""
"campsite","teepee",6,18.75,"","","","",""
"campsite","troop",6,18.75,"","","","",""
"campsite","wheel",6,18.75,"","","","",""
"campsite","bodybuilder",5,15.625,"","","","",""
"campsite","camp",5,15.625,"","","","",""
"campsite","distance",5,15.625,"","","","",""
"campsite","green",5,15.625,"","","","",""
"campsite","hill",5,15.625,"","","","",""
"campsite","home",5,15.625,"","","","",""
"campsite","line",5,15.625,"","","","",""
"campsite","number",5,15.625,"","","","",""
"campsite","park",5,15.625,"","","","",""
"campsite","right",5,15.625,"","","","",""
"campsite","staff",5,15.625,"","","","",""
"campsite","stream",5,15.625,"","","","",""
"campsite","vehicle",5,15.625,"","","","",""
"campsite","where",5,15.625,"","","","",""
"campsite","ball",4,12.5,"","","","",""
"campsite","bathing",4,12.5,"","","","",""
"campsite","camping",4,12.5,"","","","",""
"campsite","chair",4,12.5,"","","","",""
"campsite","coffee",4,12.5,"","","","",""
"campsite","cow",4,12.5,"","","","",""
"campsite","fall",4,12.5,"","","","",""
"campsite","gondola",4,12.5,"","","","",""
"campsite","grill",4,12.5,"","","","",""
"campsite","hair",4,12.5,"","","","",""
"campsite","hedge",4,12.5,"","","","",""
"campsite","pack",4,12.5,"","","","",""
"campsite","path",4,12.5,"","","","",""
"campsite","pathway",4,12.5,"","","","",""
"campsite","postcard",4,12.5,"","","","",""
"campsite","rabbit",4,12.5,"","","","",""
"campsite","shrub",4,12.5,"","","","",""
"campsite","suits",4,12.5,"","","","",""
"campsite","uniform",4,12.5,"","","","",""
"campsite","walking",4,12.5,"","","","",""
"campsite","window",4,12.5,"","","","",""
"campsite","woman",4,12.5,"","","","",""
"campsite","adult",3,9.375,"","","","",""
"campsite","back",3,9.375,"","","","",""
"campsite","bit",3,9.375,"","","","",""
"campsite","building",3,9.375,"","","","",""
"campsite","campsite",3,9.375,"","","","",""
"campsite","costume",3,9.375,"","","","",""
"campsite","country",3,9.375,"","","","",""
"campsite","door",3,9.375,"","","","",""
"campsite","edge",3,9.375,"","","","",""
"campsite","fabric",3,9.375,"","","","",""
"campsite","face",3,9.375,"","","","",""
"campsite","fact",3,9.375,"","","","",""
"campsite","fight",3,9.375,"","","","",""
"campsite","girl",3,9.375,"","","","",""
"campsite","hat",3,9.375,"","","","",""
"campsite","hmm",3,9.375,"","","","",""
"campsite","indian",3,9.375,"","","","",""
"campsite","leader",3,9.375,"","","","",""
"campsite","music",3,9.375,"","","","",""
"campsite","party",3,9.375,"","","","",""
"campsite","ride",3,9.375,"","","","",""
"campsite","shape",3,9.375,"","","","",""
"campsite","stripe",3,9.375,"","","","",""
"campsite","style",3,9.375,"","","","",""
"campsite","uh",3,9.375,"","","","",""
"campsite","unicycle",3,9.375,"","","","",""
"campsite","waterway",3,9.375,"","","","",""
"campsite","yes",3,9.375,"","","","",""
"campsite","age",2,6.25,"","","","",""
"campsite","barbecuing",2,6.25,"","","","",""
"campsite","bathroom",2,6.25,"","","","",""
"campsite","beard",2,6.25,"","","","",""
"campsite","beer",2,6.25,"","","","",""
"campsite","biker",2,6.25,"","","","",""
"campsite","blonde",2,6.25,"","","","",""
"campsite","bowl",2,6.25,"","","","",""
"campsite","campfire",2,6.25,"","","","",""
"campsite","cane",2,6.25,"","","","",""
"campsite","canva",2,6.25,"","","","",""
"campsite","cape",2,6.25,"","","","",""
"campsite","caravan",2,6.25,"","","","",""
"campsite","claus",2,6.25,"","","","",""
"campsite","cloth",2,6.25,"","","","",""
"campsite","conversation",2,6.25,"","","","",""
"campsite","cook",2,6.25,"","","","",""
"campsite","crawl",2,6.25,"","","","",""
"campsite","dress",2,6.25,"","","","",""
"campsite","enclosure",2,6.25,"","","","",""
"campsite","energy",2,6.25,"","","","",""
"campsite","exhaustion",2,6.25,"","","","",""
"campsite","fence",2,6.25,"","","","",""
"campsite","food",2,6.25,"","","","",""
"campsite","foot",2,6.25,"","","","",""
"campsite","foreground",2,6.25,"","","","",""
"campsite","friend",2,6.25,"","","","",""
"campsite","fun",2,6.25,"","","","",""
"campsite","gate",2,6.25,"","","","",""
"campsite","grassy",2,6.25,"","","","",""
"campsite","greenery",2,6.25,"","","","",""
"campsite","horse",2,6.25,"","","","",""
"campsite","house",2,6.25,"","","","",""
"campsite","inside",2,6.25,"","","","",""
"campsite","jogger",2,6.25,"","","","",""
"campsite","land",2,6.25,"","","","",""
"campsite","lane",2,6.25,"","","","",""
"campsite","leash",2,6.25,"","","","",""
"campsite","mermaids",2,6.25,"","","","",""
"campsite","muscle",2,6.25,"","","","",""
"campsite","occupant",2,6.25,"","","","",""
"campsite","paddle",2,6.25,"","","","",""
"campsite","periscope",2,6.25,"","","","",""
