"stimuli","origin","n","percent","source","agreement"
"airport","aircraft",29,0.90625,NA,NA
"airport","airplane",22,0.6875,"dr2",95.4545455
"airport","airport",30,0.9375,NA,NA
"airport","bag",29,0.90625,NA,NA
"airport","balloon",24,0.75,"boss",87
"airport","blimp",11,0.34375,"dr2",91.3
"airport","bus",22,0.6875,"mm",76
"airport","cart",13,0.40625,"mm",75
"airport","couple",13,0.40625,NA,NA
"airport","elephant",17,0.53125,"brodeur",95
"airport","fire",26,0.8125,NA,NA
"airport","flag",15,0.46875,"brodeur",71
"airport","helicopter",18,0.5625,"brodeur",90
"airport","hose",12,0.375,NA,NA
"airport","jet",13,0.40625,NA,NA
"airport","line",14,0.4375,NA,NA
"airport","man",16,0.5,NA,NA
"airport","people",30,0.9375,NA,NA
"airport","rocket",12,0.375,"dr2",86.3636364
"airport","saucer",11,0.34375,NA,NA
"airport","sky",13,0.40625,NA,NA
"airport","smoke",14,0.4375,NA,NA
"airport","tower",13,0.40625,"mm",78
"airport","truck",21,0.65625,"dr2",95.4545455
"airport","waldo",11,0.34375,NA,NA
"airport","watch",12,0.375,"dr2",95.4545455
"airport","water",13,0.40625,NA,NA
"airport","wing",11,0.34375,NA,NA
"arrival_1","bed",11,0.34375,"brodeur",81
"arrival_1","bird",26,0.8125,"dr2",100
"arrival_1","boot",21,0.65625,"boss",82
"arrival_1","bowl",18,0.5625,"boss",85
"arrival_1","breakfast",12,0.375,NA,NA
"arrival_1","clock",25,0.78125,"boss",92
"arrival_1","cloth",14,0.4375,NA,NA
"arrival_1","cup",21,0.65625,"mm",82
"arrival_1","dragon",15,0.46875,NA,NA
"arrival_1","eye",17,0.53125,"brodeur",76
"arrival_1","family",23,0.71875,NA,NA
"arrival_1","girl",26,0.8125,NA,NA
"arrival_1","hand",28,0.875,"brodeur",81
"arrival_1","hat",27,0.84375,"dr2",100
"arrival_1","head",15,0.46875,NA,NA
"arrival_1","hook",11,0.34375,NA,NA
"arrival_1","kitchen",13,0.40625,NA,NA
"arrival_1","luggage",23,0.71875,NA,NA
"arrival_1","man",21,0.65625,NA,NA
"arrival_1","origami",17,0.53125,NA,NA
"arrival_1","paper",21,0.65625,"dr2",72.7
"arrival_1","people",18,0.5625,NA,NA
"arrival_1","person",11,0.34375,NA,NA
"arrival_1","photo",11,0.34375,NA,NA
"arrival_1","picture",26,0.8125,NA,NA
"arrival_1","pot",22,0.6875,"dr2",100
"arrival_1","shadow",20,0.625,NA,NA
"arrival_1","ship",15,0.46875,"mm",74
"arrival_1","shoulder",15,0.46875,NA,NA
"arrival_1","smoke",11,0.34375,NA,NA
"arrival_1","soup",15,0.46875,NA,NA
"arrival_1","spoon",20,0.625,"boss",92
"arrival_1","station",15,0.46875,NA,NA
"arrival_1","street",13,0.40625,NA,NA
"arrival_1","string",13,0.40625,NA,NA
"arrival_1","table",18,0.5625,"brodeur",81
"arrival_1","tail",17,0.53125,NA,NA
"arrival_1","tea",20,0.625,NA,NA
"arrival_1","teapot",21,0.65625,"dr2",93.3
"arrival_1","train",27,0.84375,"mm",93
"arrival_1","trunk",11,0.34375,NA,NA
"arrival_1","wall",19,0.59375,NA,NA
"arrival_1","woman",19,0.59375,NA,NA
"arrival_2","arm",17,0.53125,"mm",96
"arrival_2","baby",18,0.5625,NA,NA
"arrival_2","baggage",27,0.84375,NA,NA
"arrival_2","bird",27,0.84375,"dr2",100
"arrival_2","boat",24,0.75,"mm",86
"arrival_2","book",19,0.59375,"boss",90
"arrival_2","city",20,0.625,"dr2",74.1
"arrival_2","gate",14,0.4375,"brodeur",71
"arrival_2","guy",26,0.8125,NA,NA
"arrival_2","hand",26,0.8125,"brodeur",81
"arrival_2","harbor",13,0.40625,NA,NA
"arrival_2","hat",18,0.5625,"dr2",100
"arrival_2","head",15,0.46875,NA,NA
"arrival_2","image",16,0.5,NA,NA
"arrival_2","lady",25,0.78125,NA,NA
"arrival_2","megaphone",15,0.46875,NA,NA
"arrival_2","one",15,0.46875,NA,NA
"arrival_2","origami",13,0.40625,NA,NA
"arrival_2","page",25,0.78125,NA,NA
"arrival_2","paper",14,0.4375,"dr2",72.7
"arrival_2","people",28,0.875,NA,NA
"arrival_2","person",11,0.34375,NA,NA
"arrival_2","scene",11,0.34375,NA,NA
"arrival_2","shoulder",17,0.53125,NA,NA
"arrival_2","sky",18,0.5625,NA,NA
"arrival_2","statue",22,0.6875,"dr2",93.3
"arrival_2","tail",11,0.34375,NA,NA
"arrival_2","teapot",11,0.34375,"dr2",93.3
"arrival_2","water",14,0.4375,NA,NA
"arrival_3","accordion",16,0.5,"brodeur, mm",97
"arrival_3","animal",16,0.5,NA,NA
"arrival_3","arm",13,0.40625,"mm",96
"arrival_3","arrow",14,0.4375,"mm",94
"arrival_3","barber",19,0.59375,NA,NA
"arrival_3","basket",17,0.53125,"boss",81
"arrival_3","bed",22,0.6875,"brodeur",81
"arrival_3","bird",20,0.625,"dr2",100
"arrival_3","book",27,0.84375,"boss",90
"arrival_3","boy",19,0.59375,NA,NA
"arrival_3","cart",22,0.6875,"mm",75
"arrival_3","cat",26,0.8125,"brodeur",88
"arrival_3","clarinet",16,0.5,NA,NA
"arrival_3","clock",20,0.625,"boss",92
"arrival_3","egg",27,0.84375,"dr2",100
"arrival_3","fiddle",16,0.5,NA,NA
"arrival_3","floor",21,0.65625,"dr2",100
"arrival_3","gentleman",29,0.90625,NA,NA
"arrival_3","girl",29,0.90625,NA,NA
"arrival_3","hand",20,0.625,"brodeur",81
"arrival_3","hat",28,0.875,"dr2",100
"arrival_3","head",18,0.5625,NA,NA
"arrival_3","instrument",20,0.625,NA,NA
"arrival_3","light",18,0.5625,NA,NA
"arrival_3","map",14,0.4375,NA,NA
"arrival_3","people",22,0.6875,NA,NA
"arrival_3","person",12,0.375,NA,NA
"arrival_3","picture",21,0.65625,NA,NA
"arrival_3","road",22,0.6875,"dr2",85.7142857
"arrival_3","sign",13,0.40625,NA,NA
"arrival_3","snail",18,0.5625,NA,NA
"arrival_3","suitcase",26,0.8125,"dr2",97.0588235
"arrival_3","time",18,0.5625,NA,NA
"arrival_3","violin",17,0.53125,"boss",97
"arrival_4","arm",15,0.46875,"mm",96
"arrival_4","bag",12,0.375,NA,NA
"arrival_4","basket",24,0.75,"boss",81
"arrival_4","bench",15,0.46875,"brodeur",76
"arrival_4","billboard",13,0.40625,NA,NA
"arrival_4","bird",17,0.53125,"dr2",100
"arrival_4","boat",26,0.8125,"mm",86
"arrival_4","book",28,0.875,"boss",90
"arrival_4","bowl",13,0.40625,"boss",85
"arrival_4","box",13,0.40625,"dr2",95.4545455
"arrival_4","boy",27,0.84375,NA,NA
"arrival_4","bridge",13,0.40625,"brodeur",90
"arrival_4","building",22,0.6875,NA,NA
"arrival_4","cat",23,0.71875,"brodeur",88
"arrival_4","chimney",16,0.5,"brodeur",86
"arrival_4","city",26,0.8125,"dr2",74.1
"arrival_4","coal",16,0.5,NA,NA
"arrival_4","cone",12,0.375,NA,NA
"arrival_4","conversation",11,0.34375,NA,NA
"arrival_4","door",22,0.6875,NA,NA
"arrival_4","drawer",26,0.8125,"dr2",82.1
